scenario,seed,week,network_type,nodes,edges,connected_nodes,isolates,components,density_full_population,average_degree_full_population,mean_degree_population,mean_degree_connected_subgraph,average_clustering,transitivity,degree_assortativity,gcc_nodes,gcc_edges,gcc_share_of_connected_nodes,gcc_diameter,gcc_radius,gcc_average_shortest_path,gcc_clustering,gcc_transitivity,market_assortativity,cluster_assortativity,same_cluster_edge_share
baseline,6401,39,familiarity,327,321,327,0,53,0.006022401080655147,1.963302752293578,1.963302752293578,1.963302752293578,0.07471266416220544,0.14578833693304535,-0.1424013171379355,32,32,0.09785932721712538,13.0,7.0,5.346774193548387,0.042782738095238096,0.043478260869565216,1.0,0.8773632637046062,0.8847352024922118
baseline,6401,39,social,22,14,22,0,9,0.06060606060606061,1.2727272727272727,1.2727272727272727,1.2727272727272727,0.13636363636363635,0.42857142857142855,0.23076923076923053,5,4,0.22727272727272727,3.0,2.0,1.8,0.0,0.0,1.0,0.9111111111111114,0.9285714285714286
baseline,6401,52,familiarity,501,567,501,0,59,0.004526946107784431,2.2634730538922154,2.2634730538922154,2.2634730538922154,0.12241378603654053,0.15526315789473685,-0.2080836993136357,50,71,0.0998003992015968,6.0,3.0,2.9983673469387755,0.21065079365079367,0.14831460674157304,0.9999999999999998,0.8956808000696516,0.9012345679012346
baseline,6401,52,social,40,28,40,0,15,0.035897435897435895,1.4,1.4,1.4,0.12083333333333332,0.36,0.22437673130193878,6,7,0.15,3.0,2.0,1.6,0.4444444444444444,0.42857142857142855,1.0000000000000002,0.9584877687175685,0.9642857142857143
baseline,6402,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6402,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6402,4,familiarity,4,2,4,0,2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,2,1,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6402,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6402,8,familiarity,21,13,21,0,8,0.06190476190476191,1.2380952380952381,1.2380952380952381,1.2380952380952381,0.0,0.0,-0.26020408163265246,5,4,0.23809523809523808,2.0,1.0,1.6,0.0,0.0,1.0,1.0,1.0
baseline,6402,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6402,13,familiarity,39,28,39,0,12,0.037786774628879895,1.435897435897436,1.435897435897436,1.435897435897436,0.032478632478632474,0.11538461538461539,0.04234527687296437,10,10,0.2564102564102564,5.0,3.0,2.466666666666667,0.12666666666666665,0.15789473684210525,1.0,1.0000000000000002,1.0
baseline,6402,13,social,4,2,4,0,2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,2,1,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6402,26,familiarity,178,155,178,0,43,0.009839395670665906,1.7415730337078652,1.7415730337078652,1.7415730337078652,0.06690743713215623,0.18620689655172415,0.014349599488918452,17,17,0.09550561797752809,5.0,3.0,2.698529411764706,0.023529411764705882,0.06976744186046512,1.0,0.9234413237242092,0.9290322580645162
baseline,6402,26,social,11,7,11,0,4,0.12727272727272726,1.2727272727272727,1.2727272727272727,1.2727272727272727,0.0,0.0,-0.166666666666666,4,3,0.36363636363636365,3.0,2.0,1.6666666666666667,0.0,0.0,1.0,1.0,1.0
baseline,6402,39,familiarity,346,348,346,0,57,0.00583061070620759,2.0115606936416186,2.0115606936416186,2.0115606936416186,0.07201578126433618,0.16105263157894736,-0.07065966772233678,36,40,0.10404624277456648,8.0,4.0,3.653968253968254,0.05570987654320988,0.08633093525179857,1.0,0.9050936922670892,0.9109195402298851
baseline,6402,39,social,31,21,31,0,12,0.04516129032258064,1.3548387096774193,1.3548387096774193,1.3548387096774193,0.046236559139784944,0.16666666666666666,0.15662650602409606,7,8,0.22580645161290322,3.0,2.0,1.7142857142857142,0.20476190476190476,0.1875,1.0,1.0,1.0
baseline,6402,52,familiarity,501,586,501,0,52,0.004678642714570858,2.3393213572854292,2.3393213572854292,2.3393213572854292,0.10267843710957483,0.17444933920704847,-0.10083855200374885,78,91,0.15568862275449102,11.0,6.0,4.747918747918748,0.06907814407814408,0.10989010989010989,0.9999999999999999,0.88952024787322,0.8959044368600683
baseline,6402,52,social,53,40,53,0,16,0.02902757619738752,1.509433962264151,1.509433962264151,1.509433962264151,0.04402515723270441,0.13333333333333333,0.03734439834024899,9,11,0.16981132075471697,3.0,2.0,1.8333333333333333,0.2592592592592593,0.20689655172413793,1.0,0.9421128798842258,0.95
baseline,6403,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6403,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6403,4,familiarity,8,4,8,0,4,0.14285714285714285,1.0,1.0,1.0,0.0,0.0,,2,1,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6403,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6403,8,familiarity,25,16,25,0,9,0.05333333333333334,1.28,1.28,1.28,0.0,0.0,-0.015873015873015872,5,4,0.2,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
baseline,6403,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6403,13,familiarity,59,40,59,0,21,0.023378141437755698,1.3559322033898304,1.3559322033898304,1.3559322033898304,0.0423728813559322,0.2,0.17333333333333253,6,5,0.1016949152542373,3.0,2.0,1.9333333333333333,0.0,0.0,1.0,1.0000000000000002,1.0
baseline,6403,13,social,7,4,7,0,3,0.19047619047619047,1.1428571428571428,1.1428571428571428,1.1428571428571428,0.0,0.0,-0.3333333333333333,3,2,0.42857142857142855,2.0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.0
baseline,6403,26,familiarity,201,173,201,0,49,0.008606965174129353,1.7213930348258706,1.7213930348258706,1.7213930348258706,0.09225696912264077,0.17117117117117117,-0.07093210838596768,18,18,0.08955223880597014,4.0,2.0,2.4444444444444446,0.05943562610229277,0.043478260869565216,1.0000000000000002,0.9380083849930124,0.9421965317919075
baseline,6403,26,social,18,11,18,0,8,0.0718954248366013,1.2222222222222223,1.2222222222222223,1.2222222222222223,0.16666666666666666,0.75,0.6071428571428574,3,2,0.16666666666666666,2.0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.0
baseline,6403,39,familiarity,339,344,339,0,56,0.006004433506135344,2.0294985250737465,2.0294985250737465,2.0294985250737465,0.08416465540359346,0.1908237747653806,-0.05779596992403677,22,38,0.06489675516224189,4.0,2.0,2.3333333333333335,0.24776006821461366,0.3829787234042553,1.0,0.913513125227284,0.9186046511627907
baseline,6403,39,social,26,19,26,0,9,0.05846153846153846,1.4615384615384615,1.4615384615384615,1.4615384615384615,0.20512820512820512,0.46153846153846156,0.15555555555555436,4,3,0.15384615384615385,3.0,2.0,1.6666666666666667,0.0,0.0,1.0,1.0,1.0
baseline,6403,52,familiarity,460,574,460,0,45,0.005437150705692905,2.4956521739130433,2.4956521739130433,2.4956521739130433,0.14712103114277025,0.20095693779904306,-0.14981097194819415,39,47,0.08478260869565217,7.0,4.0,3.263157894736842,0.11721611721611722,0.1276595744680851,1.0,0.8985226805184119,0.9041811846689896
baseline,6403,52,social,42,35,42,0,12,0.04065040650406504,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.20238095238095238,0.38461538461538464,-0.042183622828784906,6,6,0.14285714285714285,3.0,2.0,1.8,0.3611111111111111,0.3333333333333333,1.0,1.0,1.0
baseline,6404,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6404,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6404,4,familiarity,4,2,4,0,2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,2,1,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6404,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6404,8,familiarity,13,7,13,0,6,0.08974358974358974,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.0,0.0,-0.16666666666666768,3,2,0.23076923076923078,2.0,1.0,1.3333333333333333,0.0,0.0,1.0000000000000002,0.8313253012048195,0.8571428571428571
baseline,6404,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6404,13,familiarity,48,28,48,0,20,0.024822695035460994,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,0.0,-0.07074569789674945,6,5,0.125,3.0,2.0,1.8666666666666667,0.0,0.0,1.0,0.9213483146067416,0.9285714285714286
baseline,6404,13,social,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6404,26,familiarity,181,145,181,0,45,0.008901166359729895,1.6022099447513811,1.6022099447513811,1.6022099447513811,0.03993685872138911,0.09137055837563451,-0.07551903428716883,18,20,0.09944751381215469,7.0,4.0,3.4640522875816995,0.14708994708994708,0.1276595744680851,1.0,0.91224973523627,0.9172413793103448
baseline,6404,26,social,12,7,12,0,5,0.10606060606060606,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,0.0,-0.27272727272727265,4,3,0.3333333333333333,2.0,1.0,1.5,0.0,0.0,1.0,1.0,1.0
baseline,6404,39,familiarity,335,338,335,0,51,0.006041648047189204,2.017910447761194,2.017910447761194,2.017910447761194,0.09397536128879412,0.16121495327102803,-0.16780443946743645,33,35,0.09850746268656717,9.0,5.0,3.774621212121212,0.0,0.0,1.0,0.9004798424754904,0.9053254437869822
baseline,6404,39,social,26,16,26,0,10,0.04923076923076923,1.2307692307692308,1.2307692307692308,1.2307692307692308,0.0,0.0,-0.15315315315315314,5,4,0.19230769230769232,3.0,2.0,1.8,0.0,0.0,1.0,1.0,1.0
baseline,6404,52,familiarity,524,590,524,0,55,0.004305752193014464,2.2519083969465647,2.2519083969465647,2.2519083969465647,0.08922959991662283,0.14213709677419356,-0.19608620154804146,48,64,0.0916030534351145,8.0,4.0,3.8147163120567376,0.08599837662337662,0.07792207792207792,1.0,0.884530383413324,0.8898305084745762
baseline,6404,52,social,50,33,50,0,19,0.026938775510204082,1.32,1.32,1.32,0.04666666666666666,0.2727272727272727,0.2941176470588245,6,7,0.12,3.0,2.0,1.6666666666666667,0.38888888888888884,0.46153846153846156,1.0,1.0,1.0
baseline,6405,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6405,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6405,4,familiarity,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6405,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6405,8,familiarity,22,13,22,0,9,0.05627705627705628,1.1818181818181819,1.1818181818181819,1.1818181818181819,0.0,0.0,-0.31645569620253167,4,3,0.18181818181818182,2.0,1.0,1.5,0.0,0.0,1.0,1.0,1.0
baseline,6405,8,social,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6405,13,familiarity,60,39,60,0,22,0.022033898305084745,1.3,1.3,1.3,0.0,0.0,-0.2042755344418056,5,5,0.08333333333333333,3.0,2.0,1.6,0.0,0.0,1.0000000000000002,0.9143170999633833,0.9230769230769231
baseline,6405,13,social,4,2,4,0,2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,2,1,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6405,26,familiarity,184,175,184,0,32,0.010394392967450702,1.9021739130434783,1.9021739130434783,1.9021739130434783,0.07314527260179435,0.1111111111111111,-0.15964774609817786,21,32,0.11413043478260869,4.0,2.0,2.3142857142857145,0.07717309145880574,0.08888888888888889,1.0,0.9320160336211616,0.9371428571428572
baseline,6405,26,social,19,11,19,0,8,0.06432748538011696,1.1578947368421053,1.1578947368421053,1.1578947368421053,0.0,0.0,-0.37499999999999983,3,2,0.15789473684210525,2.0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.0
baseline,6405,39,familiarity,341,370,341,0,43,0.006382611695704675,2.1700879765395893,2.1700879765395893,2.1700879765395893,0.09652286455805517,0.16981132075471697,-0.19485148468705302,30,32,0.08797653958944282,8.0,4.0,3.7471264367816093,0.08343915343915344,0.05714285714285714,0.9999999999999999,0.910688214659747,0.9162162162162162
baseline,6405,39,social,43,27,43,0,17,0.029900332225913623,1.255813953488372,1.255813953488372,1.255813953488372,0.06976744186046512,0.21428571428571427,-0.1739130434782611,5,4,0.11627906976744186,2.0,1.0,1.6,0.0,0.0,1.0000000000000002,0.9145569620253163,0.9259259259259259
baseline,6405,52,familiarity,515,624,515,0,44,0.004714593328548223,2.4233009708737865,2.4233009708737865,2.4233009708737865,0.11417381336855922,0.17955897794889744,-0.2186659325420601,42,54,0.08155339805825243,6.0,3.0,2.975609756097561,0.11876013031475217,0.08108108108108109,1.0,0.8929831438651509,0.8990384615384616
baseline,6405,52,social,69,47,69,0,23,0.020034100596760442,1.3623188405797102,1.3623188405797102,1.3623188405797102,0.03381642512077295,0.09375,-0.22761194029850687,7,7,0.10144927536231885,4.0,2.0,2.142857142857143,0.33333333333333337,0.3333333333333333,1.0,0.9537173806006891,0.9574468085106383
baseline,6406,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6406,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6406,4,familiarity,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6406,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6406,8,familiarity,8,4,8,0,4,0.14285714285714285,1.0,1.0,1.0,0.0,0.0,,2,1,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6406,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6406,13,familiarity,39,23,39,0,16,0.0310391363022942,1.1794871794871795,1.1794871794871795,1.1794871794871795,0.0,0.0,0.02645502645502633,5,4,0.1282051282051282,3.0,2.0,1.8,0.0,0.0,0.9999999999999998,0.9039665970772444,0.9130434782608695
baseline,6406,13,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6406,26,familiarity,153,119,153,0,39,0.01023391812865497,1.5555555555555556,1.5555555555555556,1.5555555555555556,0.03470276999688764,0.09146341463414634,-0.17824415537973284,15,14,0.09803921568627451,8.0,4.0,3.7904761904761903,0.0,0.0,1.0000000000000002,0.9370179948586118,0.9411764705882353
baseline,6406,26,social,11,6,11,0,5,0.10909090909090909,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0,0.0,-0.2000000000000022,3,2,0.2727272727272727,2.0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.0
baseline,6406,39,familiarity,294,267,294,0,58,0.0061990666573796755,1.816326530612245,1.816326530612245,1.816326530612245,0.06245532623083644,0.1282442748091603,-0.17777141588473813,22,34,0.07482993197278912,4.0,3.0,2.354978354978355,0.22075298438934804,0.2608695652173913,1.0,0.9443327525354063,0.947565543071161
baseline,6406,39,social,23,16,23,0,8,0.06324110671936758,1.391304347826087,1.391304347826087,1.391304347826087,0.10144927536231885,0.3,-0.18518518518518517,4,4,0.17391304347826086,2.0,1.0,1.3333333333333333,0.5833333333333334,0.6,1.0,1.0,1.0
baseline,6406,52,familiarity,479,502,479,0,66,0.004385007119085263,2.096033402922756,2.096033402922756,2.096033402922756,0.07068163664626885,0.13752122241086587,-0.16165551547528662,35,39,0.07306889352818371,6.0,3.0,3.176470588235294,0.12775716347144916,0.057692307692307696,0.9999999999999999,0.9305130565907942,0.9342629482071713
baseline,6406,52,social,36,26,36,0,11,0.04126984126984127,1.4444444444444444,1.4444444444444444,1.4444444444444444,0.06481481481481483,0.15,-0.38425925925925963,5,5,0.1388888888888889,3.0,2.0,1.7,0.4666666666666667,0.5,1.0,0.9564853556485353,0.9615384615384616
baseline,6407,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6407,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6407,4,familiarity,6,3,6,0,3,0.2,1.0,1.0,1.0,0.0,0.0,,2,1,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6407,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6407,8,familiarity,18,10,18,0,8,0.06535947712418301,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.0,-0.2500000000000021,3,2,0.16666666666666666,2.0,1.0,1.3333333333333333,0.0,0.0,1.0000000000000002,1.0,1.0
baseline,6407,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6407,13,familiarity,47,30,47,0,17,0.027752081406105456,1.2765957446808511,1.2765957446808511,1.2765957446808511,0.0,0.0,-0.40740740740740733,5,4,0.10638297872340426,3.0,2.0,1.8,0.0,0.0,1.0,0.9264705882352942,0.9333333333333333
baseline,6407,13,social,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6407,26,familiarity,172,131,172,0,48,0.008907928736570108,1.5232558139534884,1.5232558139534884,1.5232558139534884,0.04501661129568106,0.08571428571428572,-0.07171746883847498,24,27,0.13953488372093023,6.0,3.0,3.028985507246377,0.07539682539682539,0.08450704225352113,0.9999999999999999,0.9420152391792342,0.9465648854961832
baseline,6407,26,social,12,7,12,0,5,0.10606060606060606,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,0.0,-0.4000000000000027,3,2,0.25,2.0,1.0,1.3333333333333333,0.0,0.0,0.9999999999999997,0.9999999999999997,1.0
baseline,6407,39,familiarity,330,321,330,0,54,0.005913235700469743,1.9454545454545455,1.9454545454545455,1.9454545454545455,0.06295093795093795,0.11668757841907151,-0.09844346718404982,31,51,0.09393939393939393,5.0,3.0,2.6623655913978497,0.13602150537634408,0.15853658536585366,1.0,0.9267214543643383,0.9314641744548287
baseline,6407,39,social,23,14,23,0,9,0.05533596837944664,1.2173913043478262,1.2173913043478262,1.2173913043478262,0.0,0.0,-0.08888888888888863,5,4,0.21739130434782608,3.0,2.0,1.8,0.0,0.0,1.0000000000000002,1.0,1.0
baseline,6407,52,familiarity,483,561,483,0,42,0.004819463415891343,2.3229813664596275,2.3229813664596275,2.3229813664596275,0.10754970614305653,0.16773874319643742,-0.07651963702637349,50,67,0.10351966873706005,8.0,4.0,3.6375510204081634,0.12611111111111112,0.16666666666666666,0.9999999999999998,0.9164924388511112,0.9215686274509803
baseline,6407,52,social,46,28,46,0,18,0.02705314009661836,1.2173913043478262,1.2173913043478262,1.2173913043478262,0.0,0.0,-0.002237136465325265,6,5,0.13043478260869565,3.0,2.0,1.9333333333333333,0.0,0.0,0.9999999999999998,0.9198855507868382,0.9285714285714286
baseline,6408,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6408,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6408,4,familiarity,4,2,4,0,2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,2,1,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
baseline,6408,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6408,8,familiarity,20,11,20,0,9,0.05789473684210526,1.1,1.1,1.1,0.0,0.0,-0.2222222222222209,3,2,0.15,2.0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.0
baseline,6408,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6408,13,familiarity,68,42,68,0,26,0.018437225636523266,1.2352941176470589,1.2352941176470589,1.2352941176470589,0.0,0.0,-0.183868169991327,6,5,0.08823529411764706,3.0,2.0,1.8666666666666667,0.0,0.0,1.0000000000000002,0.9741776821395634,0.9761904761904762
baseline,6408,13,social,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6408,26,familiarity,233,200,233,0,50,0.007399733609590055,1.7167381974248928,1.7167381974248928,1.7167381974248928,0.05627086313781592,0.096,-0.12719776888565554,20,22,0.08583690987124463,4.0,2.0,2.5736842105263156,0.07281746031746031,0.0821917808219178,1.0,0.9200937566588536,0.925
baseline,6408,26,social,13,7,13,0,6,0.08974358974358974,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.0,0.0,-0.16666666666666768,3,2,0.23076923076923078,2.0,1.0,1.3333333333333333,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0
