rider_1,rider_2,coattendance_count,tie_strength
R004386,R006951,4,1.8718571677844675
R000061,R007586,3,0.7055970728187978
R001069,R006959,27,14.100554303483051
R004386,R008286,3,0.8927590331551577
R004833,R008997,3,1.2308849648664082
R005791,R006959,3,0.33133222962184977
R004178,R005009,3,2.2273895731218336
R000471,R006703,3,0.3532114694993256
R002769,R004833,3,0.9532531525427111
R001533,R008030,3,0.9169636623399
R000346,R006703,4,1.1342179225030034
R000573,R004685,3,1.2550936972619355
R000668,R009366,3,1.9584804228818136
R005986,R009673,3,1.2211551257551787
R007193,R008215,3,1.038220655363387
R001533,R004458,3,1.0718687530159035
R003326,R006900,3,1.167375764455247
R003594,R004339,3,1.1368106815444519
R005452,R008465,3,1.913764521031517
R000924,R001811,3,1.020217558443728
R002895,R003380,5,2.140658328494618
R002154,R009250,3,1.1004573193821265
R002582,R008226,3,0.7666280014486533
R006508,R009604,3,0.5209965940927997
R004253,R004912,3,0.40570155602490127
R003568,R005319,3,1.890919701442937
R002996,R007662,3,0.8125223904453681
R000574,R007095,3,0.6844792968911804
R004196,R006699,3,1.2693650013716153
R000002,R007741,9,5.235910158643381
R004884,R006959,3,1.257362503015904
R000724,R009803,4,2.7863770910674583
R006959,R009785,3,0.8770854003424217
R002748,R003504,4,1.756750081990909
R008131,R009260,3,1.402413342649265
R001069,R002915,4,1.495066303733367
R003042,R008549,3,1.1033950050659627
R003102,R008107,3,1.2101123500435589
R000828,R006909,3,0.9087877615314932
R003855,R009376,3,1.4324088682148874
R002800,R005124,3,1.492028337064771
R006503,R008316,3,0.7362233171026188
R003584,R008226,3,0.721868407818642
R003255,R005810,3,0.27007465863047575
R000843,R006507,3,1.0491882682865632
R002725,R007384,3,0.47829650329465023
R006477,R008316,3,1.5159578141755143
R004388,R009828,3,1.4850224099981397
R006947,R008698,32,15.456766205245518
R006808,R006959,3,0.9424360296961559
R000668,R000778,3,0.999497094954741
R000370,R008051,5,1.9483580609468754
